"year","attendance","total_attendance","pct_hispanic","pct_change"
2021,175768,882538,19.9161962431079,-0.605073570160264
2022,182787,881471,20.7365869098359,3.99333211961221
2023,195406,889971,21.9564457718285,6.90366382729626
2024,202712,890137,22.773123687702,3.73888212235038
2025,210961,891553,23.6621939469667,4.06932002052172
2026,209675,880231,23.8204516768894,-0.60959134626779
