"lea_name","year","attendance","pct_change"
"Wicomico",2024,2212,5.73613766730401
"Wicomico",2025,2352,6.32911392405062
"Wicomico",2026,2302,-2.12585034013606
"Worcester",2020,539,NA
"Worcester",2021,558,3.52504638218925
"Worcester",2022,559,0.179211469534057
"Worcester",2023,576,3.04114490161003
"Worcester",2024,572,-0.694444444444442
"Worcester",2025,640,11.8881118881119
"Worcester",2026,602,-5.9375
