"lea_name","year","attendance","total_attendance","pct_hispanic","pct_change"
"Allegany",2022,95,8132,1.16822429906542,58.3333333333333
"Anne Arundel",2022,15698,83163,18.8761829178842,5.22152959313626
"Baltimore City",2022,11995,77807,15.416350713946,11.0442510646177
"Baltimore County",2022,15490,111115,13.9405120820771,12.6873272224647
"Calvert",2022,1174,15406,7.62040763338959,14.3135345666991
"Caroline",2022,992,5551,17.8706539362277,7.47562296858071
"Carroll",2022,1950,25042,7.7869179777973,7.67531750414137
"Cecil",2022,1285,14780,8.69418132611637,6.02310231023102
"Charles",2022,3184,26875,11.8474418604651,12.2708039492243
"Dorchester",2022,458,4573,10.0153072381369,2.46085011185682
"Frederick",2022,9005,45220,19.9137549756745,10.1529051987768
"Garrett",2022,35,3502,0.999428897772701,52.1739130434783
"Harford",2022,3239,37920,8.54166666666667,9.24114671163576
"Howard",2022,7505,57325,13.0920191888356,5.24470621231243
"Kent",2022,201,1786,11.2541993281075,11.0497237569061
"Montgomery",2022,52853,158230,33.4026417240726,0.440888618612334
"Prince Georges",2022,48171,128770,37.4085578939194,0.404360422702554
"Queen Annes",2022,854,7440,11.4784946236559,12.3684210526316
"Saint Marys",2022,1350,17480,7.72311212814645,3.44827586206897
"Seed",2022,0,397,0,NA
"Somerset",2022,287,2736,10.4897660818713,5.12820512820513
"Talbot",2022,1088,4533,24.0017648356497,7.6162215628091
"Washington",2022,2905,22171,13.1027017274818,10.4562737642586
"Wicomico",2022,1876,14664,12.7932351336607,11.6002379535991
"Worcester",2022,559,6803,8.21696310451271,0.179211469534057
