STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
ARIZONA,Cochise County Sheriff's Office ,County ,Cochise County,Warrant Service Officer,8/28/2025,link,
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Warrant Service Officer,2/27/2020,link,
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Jail Enforcement Model,3/12/2020,link,
ARIZONA,Mesa Police Department,Municipality,#N/A,Jail Enforcement Model,6/8/2020,link,
ARIZONA,Navajo County Sheriff's Office,County,Navajo County,Warrant Service Officer,4/16/2025,link,
ARIZONA,Pinal County Attorney's Office,County,Pinal County,Task Force Model,8/28/2025,link,
ARIZONA,Pinal County Sheriff's Office,County,Pinal County,Jail Enforcement Model,6/9/2020,link,
ARIZONA,Yavapai County Sheriff's Office,County,Yavapai County,Jail Enforcement Model,6/9/2020,link,
ARIZONA,Yuma County Sheriff's Office,County,Yuma County,Warrant Service Officer,6/3/2025,link,
ARKANSAS,16th Judicial Distric Drug Task Force,State Agency,Independence County ,Task Force Model,9/22/2025,link,
ARKANSAS,Alpena Police Department,Municipality,Boone County,Task Force Model,5/21/2026,link pending,
ARKANSAS,Arkansas Department of Corrections,State Agency,Pulaksi County,Jail Enforcement Model ,12/2/2025,link,
ARKANSAS,Arkansas Department of Corrections,State Agency,Pulaksi County,Warrant Service Officer,12/2/2025,link,
ARKANSAS,Arkansas Department of Public Safety,State Agency,Pulaski County,Task Force Model,2/23/2026,link,
ARKANSAS,Arkansas Department of Public Safety-Crime Information Center,State Agency,Pulaski County,Task Force Model,2/14/2026,link,
ARKANSAS,Arkansas Division of Law Enforcement Standards and Training,State Agency,Pulaski County,Task Force Model,2/10/2026,link,
ARKANSAS,Arkansas National Guard,State Agency,#N/A,Task Force Model,11/4/2025,link,
ARKANSAS,Arkansas State Police Department,State Agency,#N/A,Task Force Model,7/7/2025,link,
ARKANSAS,Ashdown City Police Department,Municipality ,Little River County,Task Force Model,4/17/2026,link,
ARKANSAS,Baxter County Sheriff's Office ,County,Baxter County,Task Force Model,7/15/2025,link,
ARKANSAS,Baxter County Sheriff's Office ,County,Baxter County,Warrant Service Officer,7/15/2025,link,
ARKANSAS,Bay Police Department,Municipality,Craighead County,Task Force Model,4/22/2026,link pending,
ARKANSAS,Benton County Sheriff's Office,County,Benton County,Jail Enforcement Model,6/30/2020,link,
ARKANSAS,Black Rock Police Department,Municipality ,Lawrence County,Task Force Model,2/10/2026,link,
ARKANSAS,Bono Police Department,Municipality,Craighead County,Task Force Model,5/21/2026,link pending,
ARKANSAS,Boone County Sheriff's Office,County,Boone County,Task Force Model,4/5/2026,link,
ARKANSAS,Boone County Sheriff's Office,County,Boone County,Warrant Service Officer,4/5/2026,link,
ARKANSAS,Brookland Police Department,Municipality,Craighead County,Task Force Model,4/25/2026,link,
ARKANSAS,Calhoun County Sheriff's Office,County,Calhoun County,Task Force Model,1/7/2026,link,
ARKANSAS,Calhoun County Sheriff's Office,County,Calhoun County,Warrant Service Officer,1/7/2026,link,
