STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
FLORIDA,Sewall's Point Police Department,Municipality,Martin County,Task Force Model,4/15/2025,link,
FLORIDA,Shalimar Police Department,Municipality,#NA,Task Force Model,8/28/2025,link,
FLORIDA,South Daytona Police Department,Municipality,Volusia County,Task Force Model,4/24/2025,link,
FLORIDA,Springfield Police Department,Municipality,#N/A,Task Force Model,2/28/2025,link,
FLORIDA,St. Augustine Beach Police Department,Municipality,#N/A,Task Force Model,3/3/2025,link,
FLORIDA,St. Augustine Police Department,Municipality,#N/A,Task Force Model,2/28/2025,link,
FLORIDA,St. Cloud Police Department,Municipality,#N/A,Task Force Model,4/14/2025,link,
FLORIDA,St. Johns County Sheriff's Office,County,St. Johns County ,Task Force Model,2/26/2025,link,
FLORIDA,St. Johns County Sheriff's Office,County,St. Johns County ,Warrant Service Officer,10/15/2019,link,link
FLORIDA,St. Johns County Sheriff's Office,County,St. Johns County ,Jail Enforcement Model,7/18/2025,link,
FLORIDA,St. Lucie County Sheriff's Office,County,St. Lucie County ,Task Force Model,2/26/2025,link,
FLORIDA,St. Lucie County Sheriff's Office,County,St. Lucie County ,Warrant Service Officer,2/19/2025,link,link
FLORIDA,St. Petersburg Police Department,Municipality,#N/A,Task Force Model,2/28/2025,link,
FLORIDA,Stuart Police Department,Municipality,#N/A,Task Force Model,4/14/2025,link,
FLORIDA,Sumter County Sheriff's Office,County,Sumter County ,Task Force Model,2/26/2025,link,
FLORIDA,Sumter County Sheriff's Office,County,Sumter County ,Warrant Service Officer,10/15/2019,link,link
FLORIDA,Sunny Isles Police Department,Municipality,#N/A,Task Force Model,3/10/2025,link,
FLORIDA,Suwannee County Sheriff's Office,County,Suwannee County ,Task Force Model,2/26/2025,link,
FLORIDA,Suwannee County Sheriff's Office,County,Suwannee County ,Warrant Service Officer,10/15/2019,link,link
FLORIDA,Sweetwater Police Department,Municipality,#N/A,Task Force Model,3/26/2025,link,
FLORIDA,Tallahassee Police Department,Municipality,#N/A,Task Force Model,3/10/2025,link,
FLORIDA,Tallahassee State College Police Department,Municipality,#N/A,Task Force Model,4/15/2025,link,
FLORIDA,Tampa Police Department,Municipality,#N/A,Task Force Model,2/28/2025,link,
FLORIDA,Tarpon Springs Police Department,Municipality,#N/A,Task Force Model,2/28/2025,link,
FLORIDA,Tavares Police Department,Municipality,#N/A,Task Force Model,3/17/2025,link,
FLORIDA,Taylor County Sheriff's Office,County,Taylor County ,Task Force Model,2/26/2025,link,
FLORIDA,Taylor County Sheriff's Office,County,Taylor County ,Warrant Service Officer,10/15/2019,link,link
FLORIDA,Taylor County Sheriff's Office,County ,Taylor County,Jail Enforcement Model ,10/17/2025,link,
FLORIDA,Tequesta Police Department,Municipality,#N/A,Task Force Model,3/7/2025,link,
FLORIDA,Titusville Police Department,Municipality,#N/A,Task Force Model,6/24/2025,link,
FLORIDA,Treasure Island Police Department,Municipality,#N/A,Task Force Model,3/7/2025,link,
FLORIDA,Union County Sheriff's Office,County,Union County ,Task Force Model,2/26/2025,link,
FLORIDA,Union County Sheriff's Office,County,Union County ,Warrant Service Officer,2/26/2025,link,link
FLORIDA,University of Central Florida Police Department,Municipality,Orange County,Task Force Model,7/24/2025,link,
FLORIDA,University of Florida Police Department,Municipality,#N/A,Task Force Model,4/15/2025,link,
FLORIDA,University of North Florida Police Department,Municipality,#N/A,Task Force Model,7/7/2025,link,
FLORIDA,University of South Florida Police Department,Municipality ,Hillsborough County,Task Force Model,2/10/2026,link,
FLORIDA,University of West Florida Police Department,Municipality,#N/A,Task Force Model,4/15/2025,link,
FLORIDA,Venice Police Department,Municipality,#N/A,Task Force Model,3/17/2025,link,
FLORIDA,Vero Beach Police Department,Municipality,#N/A,Task Force Model,3/26/2025,link,
FLORIDA,Volusia County Division of Corrections,County,Volusia County,Warrant Service Officer,2/26/2025,link,link
FLORIDA,Volusia County Sheriff's Office,County,Volusia County ,Task Force Model,2/26/2025,link,
FLORIDA,Wakulla County Sheriff's Office,County,Wakulla County ,Task Force Model,2/26/2025,link,
FLORIDA,Wakulla County Sheriff's Office,County,Wakulla County ,Warrant Service Officer,10/15/2019,link,link
FLORIDA,Walton County Sheriff's Office,County,Walton County ,Task Force Model,2/26/2025,link,
FLORIDA,Walton County Sheriff's Office,County,Walton County ,Warrant Service Officer,5/6/2019,link,link
FLORIDA,Washington County Sheriff's Office,County,Washington County ,Task Force Model,2/26/2025,link,
FLORIDA,Washington County Sheriff's Office,County,Washington County ,Warrant Service Officer,2/26/2025,link,link
FLORIDA,Wauchula Police Department,Municipality,Hardee County,Task Force Model,5/13/2026,link pending,
FLORIDA,Welaka Police Department ,Municipality,Putnam County ,Task Force Model,11/19/2025,link,
FLORIDA,West Melbourne Police Department,Municipality,Brevard County ,Task Force Model,4/24/2025,link,
FLORIDA,West Miami Police Department,Municipality,#N/A,Task Force Model,3/26/2025,link,
FLORIDA,West Palm Beach Police Department,Municipality,#N/A,Task Force Model,7/7/2025,link,
FLORIDA,Windermere Police Department,Municipality,#N/A,Task Force Model,6/5/2025,link,
FLORIDA,Winter Garden Police Department,Municipality,#N/A,Task Force Model,4/2/2025,link,
FLORIDA,Winter Haven Police Department,Municipality,#N/A,Task Force Model,7/2/2025,link,
FLORIDA,Winter Springs Police Department,Municipality,Seminole County,Task Force Model,6/5/2025,link,
FLORIDA,Zephyrhills Police Department,Municipality,#N/A,Task Force Model,4/14/2025,link,
GEORGIA,Alto Police Department ,Municipality,Banks County ,Task Force Model,11/6/2025,link,
GEORGIA,Appling County Sheriff's Office,County,Appling County,Task Force Model,2/14/2026,link,
GEORGIA,Atkinson County Sheriff's Office,County,Atkinson County,Jail Enforcement Model,3/8/2026,link,
GEORGIA,Atkinson County Sheriff's Office,County,Atkinson County,Task Force Model,1/7/2026,link,
GEORGIA,Bacon County Sheriff's Office,County,Bacon County,Task Force Model,2/20/2026,link,
GEORGIA,Bibb County Sheriff's Office,County,Bibb County ,Warrant Service Officer,2/27/2025,link,
GEORGIA,Boston Police Department,Municipality,Thomas County,Task Force Model,5/21/2026,link pending,
GEORGIA,Burke County Sheriff's Office,County,Burke County,Warrant Service Officer,3/26/2025,link,
GEORGIA,Cairo Police Department,Municipality,Grady County,Task Force Model,5/12/2026,link pending,
GEORGIA,Camden County Sheriff's Office,County,Camden County,Jail Enforcement Model,4/29/2026,link pending,
GEORGIA,Camden County Sheriff's Office,County,Camden County,Task Force Model,4/29/2026,link pending,
GEORGIA,Camden County Sheriff's Office,County,Camden County,Warrant Service Officer,4/29/2026,link pending,
GEORGIA,Catoosa County Sheriff's Office,County,Catoosa County,Jail Enforcement Model,5/22/2025,link,
GEORGIA,Catoosa County Sheriff's Office,County,Catoosa County,Warrant Service Officer,5/22/2025,link,
GEORGIA,City of Morrow Police Department,Municipality,Clayton County,Task Force Model,9/22/2025,link,
GEORGIA,Columbia County Sheriff's Office,County,Columbia County ,Jail Enforcement Model,2/26/2025,link,
GEORGIA,Coweta County Sheriff's Office,County,Coweta County,Warrant Service Officer,5/22/2025,link,
GEORGIA,Dade County Sheriff's Office,County,Dade County,Warrant Service Officer,3/26/2025,link,
GEORGIA,Dallas Police Department,Municipality ,Paulding County,Task Force Model,3/28/2026,link,
GEORGIA,Dawson County Sheriff's Office,County,Dawson County,Warrant Service Officer,5/22/2025,link,
GEORGIA,Decatur County Sheriff's Office,County,Decatur,Warrant Service Officer,3/26/2025,link,
GEORGIA,Euharlee Police Department,Municipality,#N/A,Task Force Model,5/16/2025,link,
GEORGIA,Fayette County Sheriff's Office ,County ,Fayette County ,Warrant Service Officer,9/9/2025,link,
GEORGIA,Floyd County Sheriff's Office,County,Floyd County ,Jail Enforcement Model,6/10/2020,link,
GEORGIA,Forsyth County Sheriff's Office,County,Forsyth County,Warrant Service Officer,5/13/2025,link,
GEORGIA,Franklin County Sheriff's Office,County,Franklin County ,Warrant Service Officer,11/10/2025,link,
GEORGIA,Georgia Department of Corrections,State Agency,#N/A,Jail Enforcement Model,6/9/2020,link,
GEORGIA,Georgia Department of Public Safety,State Agency,#N/A,Task Force Model,3/10/2025,link,
GEORGIA,Gilmer County Sheriff's Office ,County,Gilmer County,Warrant Service Officer,1/26/2026,link,
GEORGIA,Glynn County Sheriff's Office,County,Glynn County,Warrant Service Officer,5/13/2025,link,
GEORGIA,Grady County Sheriff's Office,County,Grady County,Warrant Service Officer,1/7/2026,link,
GEORGIA,Grady County Sheriff's Office,County,Grady County,Jail Enforcement Model,1/7/2026,link,
GEORGIA,Grady County Sheriff's Office ,County ,Grady County,Task Force Model,11/4/2025,link,
GEORGIA,Hahira Police Department,Municipality,Lowndes County,Task Force Model,4/25/2026,link,
GEORGIA,Hall County Sheriff's Office,County,Hall County ,Jail Enforcement Model,6/9/2020,link,
GEORGIA,Harris County Sheriff's Office,County,Harris County,Task Force Model,4/20/2026,link,
GEORGIA,Harris County Sheriff's Office,County,Harris County,Warrant Service Officer,5/22/2025,link,
GEORGIA,Jasper County Sheriff's Office,County,Jasper County,Warrant Service Officer,6/25/2025,link,
GEORGIA,Jasper County Sheriff's Office,County,Jasper County,Jail Enforcement Model,5/22/2025,link,
GEORGIA,Lanier County Sheriff's Office ,County ,Lanier County ,Task Force Model,11/4/2025,link,
GEORGIA,Lumpkin County Sheriff's Office,County,Lumpkin County,Warrant Service Officer,3/27/2025,link,
GEORGIA,Madison County Sheriff's Office,County,Madison County,Warrant Service Officer,5/13/2025,link,
GEORGIA,Marietta Police Department,Municipality,Cobb County,Task Force Model,1/7/2026,link,
GEORGIA,Monroe County Sheriff's Office,County,Monroe County ,Jail Enforcement Model,2/24/2025,link,
GEORGIA,Monroe Police Department ,Municipality,Monroe County ,Task Force Model,7/7/2025,link,
GEORGIA,Morgan County Sheriff's Office,County,Morgan County ,Warrant Service Officer,2/28/2025,link,
GEORGIA,Morven Police Department ,Municipality,Brooks County,Task Force Model,8/28/2025,link,
GEORGIA,Oconee County Sheriff's Office,County,Oconee County ,Warrant Service Officer,12/31/2019,link,
GEORGIA,Odum Police Department ,Municipality ,Wayne County,Task Force Model,1/26/2026,link,
GEORGIA,Oglethorpe County Sheriff's Office ,County ,Oglethorpe County,Task Force Model,10/17/2025,link,
GEORGIA,Pearson Police Department,Municipality ,Atkinson County,Task Force Model,2/10/2026,link,
GEORGIA,Pierce County Sheriff's Office,County,Pierce County ,Warrant Service Officer,2/27/2025,link,
GEORGIA,Polk County Sheriff's Office,County,Polk County ,Jail Enforcement Model,7/2/2020,link,
GEORGIA,Social Circle Police Department ,Municipality,Walton County,Task Force Model,10/17/2025,link,
GEORGIA,Statesboro Police Department,Municipality,Bulloch County,Task Force Model,2/27/2026,link,
GEORGIA,Thomas County Sheriff's Office,County,Thomas County,Task Force Model,2/25/2026,link,
GEORGIA,Thomas County Sheriff's Office,County,Thomas County,Warrant Service Officer,2/25/2026,link,
GEORGIA,Thomas County Sheriff's Office,County,Thomas County,Jail Enforcement Model,2/25/2026,link,
GEORGIA,Tift County Sheriff's Office,County,Tift County,Warrant Service Officer,5/7/2025,link,
GEORGIA,Tift County Sheriff's Office,County,Tift County,Jail Enforcement Model,5/7/2025,link,
GEORGIA,Turner County Sheriff's Office,County,Turner County,Task Force Model,12/16/2025,link,
GEORGIA,Turner County Sheriff's Office,County,Turner County,Warrant Service Officer,12/16/2025,link,
GEORGIA,Turner County Sheriff's Office,County,Turner County,Jail Enforcement Model,12/16/2025,link,
GEORGIA,Walker County Sheriff's Office,County,Walker County ,Jail Enforcement Model,2/24/2025,link,
GEORGIA,Wayne County Sheriff's Office,County,Wayne County,Task Force Model,1/30/2026,link,
GEORGIA,Webster County Sheriff's Office,County,Webster County,Task Force Model,5/28/2026,link pending,
GEORGIA,Whitfield County Sheriff's Office,County,Whitfield County ,Jail Enforcement Model,6/9/2020,link,
GUAM,Office Of The Attorney General ,State Agency,Kattan District ,Task Force Model,9/22/2025,link,
IDAHO,Bingham County Sheriff's Office,County,Bingham County,Warrant Service Officer,5/28/2025,link,
IDAHO,Bonneville County Sheriff's Office ,County,Bonneville County,Warrant Service Officer,7/11/2025,link,
IDAHO,Caribou County Sheriff's Office,County,Caribou County,Warrant Service Officer,3/11/2026,link,
IDAHO,Franklin County Sheriff's Office,County,Franklin County,Task Force Model,3/24/2026,link,
IDAHO,Gooding County Sheriff's Office,County,Gooding County ,Warrant Service Officer,8/17/2020,link,
IDAHO,Idaho State Police Department ,State Agency,Jerome County,Task Force Model,6/5/2025,link,
IDAHO,Kootenai County Sheriff's Office ,County ,Kootenai County ,Warrant Service Officer,8/28/2025,link,
IDAHO,Kootenai County Sheriff's Office ,County ,Kootenai County ,Jail Enforcement Model ,8/28/2025,link,
IDAHO,Owyhee County Sheriff's Office,County,Owyhee County ,Task Force Model,2/19/2025,link,
IDAHO,Owyhee County Sheriff's Office,County,Owyhee County ,Warrant Service Officer,2/19/2025,link,
IDAHO,Power County Sheriff’s Office,County,Power County,Warrant Service Officer,11/20/2020,link,
IDAHO,Washington County Sheriff's Office,County ,Washington County,Warrant Service Officer,10/17/2025,link,
INDIANA,Angola Police Department ,Municipality,Stueben County ,Task Force Model,11/14/2025,link,
INDIANA,Bainbridge Police Department,Municipality,Putnam County,Task Force Model,4/21/2026,link,
INDIANA,Cadiz Police Department,Municipality,Henry County,Task Force Model,1/7/2026,link,
INDIANA,Carthage Police Department,Municipality,Rush County ,Task Force Model,3/23/2026,link,
INDIANA,Claypool Police Department,Municipality ,Kosciusko County,Task Force Model,4/13/2026,link pending,
INDIANA,Corydon Police Department ,Municipality,Harrison County,Task Force Model,9/9/2025,link,
INDIANA,Corydon Police Department ,Municipality,Harrison County,Warrant Service Officer,9/9/2025,link,
INDIANA,Gentryville Police Department,Municipality ,Spencer County,Task Force Model,4/17/2026,link pending,
INDIANA,Greens Fork Police Department,Municipality,#N/A,Task Force Model,4/10/2025,link,
INDIANA,Greensboro Police Department ,Municipality,Henry County,Task Force Model,12/9/2025,link,
INDIANA,Hamilton County Sheriff's Office,County,Hamilton County ,Jail Enforcement Model,3/3/2025,link,
INDIANA,Haubstadt Police Department,Municipality ,Gibson County,Task Force Model,4/13/2026,link pending,
INDIANA,Hendricks County Prosecutor's Office,County,Hendricks County,Task Force Model,2/18/2026,link,
INDIANA,Holland Police Department ,Municipality,Dubois County,Task Force Model,4/19/2026,link pending,
INDIANA,Indiana Department of Corrections,State Agency,Putnam County ,Jail Enforcement Model,8/6/2025,link,
INDIANA,Indiana Department of Corrections ,State Agency,Putnam County ,Warrant Service Officer,8/4/2025,link,
INDIANA,Indiana Department of Homeland Security,State Agency,Marion County,Task Force Model,8/4/2025,link,
INDIANA,Indiana State Police Department,State Agency,#NA,Task Force Model,8/4/2025,link,
INDIANA,Jasper County Sheriff's Office,County,Jasper County,Warrant Service Officer,3/17/2025,link,
INDIANA,Kennard Police Department ,Municipality,Henry County,Task Force Model,9/9/2025,link,
INDIANA,LaGrange Police Department ,Municipality,LaGrange County ,Task Force Model,11/6/2025,link,
INDIANA,Laurel Police Department,Municipality,Franklin County,Task Force Model,4/15/2026,link pending,
INDIANA,Marengo Police Department,Municipality,Crawford County,Task Force Model,4/13/2026,link pending,
INDIANA,Moores Hill Police Department,Municipality,Dearborn County,Task Force Model,4/15/2026,link pending,
INDIANA,Noble County Sheriff's Office,County,Noble County,Warrant Service Officer,3/26/2025,link,
INDIANA,North Salem Police Department ,Municipality,Hendricks County ,Task Force Model,8/4/2025,link,
INDIANA,Orestes Police Department,Municipality,Madison County,Task Force Model,4/29/2026,link pending,
INDIANA,Rush County Sheriff's Office ,County ,Rush County,Warrant Service Officer,8/7/2025,link,
INDIANA,Shirley Police Department,County,Hancock County,Task Force Model,4/19/2026,link pending,
INDIANA,Silver Lake Police Department,Municipality,Kosciusko County,Task Force Model,5/21/2026,link pending,
INDIANA,Stinesville Police Department,Municipality ,Monroe County,Task Force Model,2/10/2026,link,
INDIANA,Waterloo Marshal's Office,Municipality,DeKalb County,Task Force Model,5/13/2026,link pending,
INDIANA,West Harrison Police Department,Municipality ,Dearborn County,Task Force Model,4/13/2026,link pending,
INDIANA,Wolcott Police Department,Municipality,White County,Task Force Model,3/24/2026,link pending,
INDIANA,Worthington Police Department,Municipality ,Greene County,Task Force Model,4/13/2026,link pending,
IOWA,Iowa Department of Public Safety,State Agency,N/A,Task Force Model,3/26/2025,link,
IOWA,Marion County Sheriff's Office ,County ,Marion County ,Task Force Model,11/6/2025,link,
KANSAS,Anderson County Sheriff's Office,County,Anderson County,Warrant Service Officer,6/11/2025,link,
KANSAS,Brown County Sheriff's Office ,County ,Brown County,Jail Enforcement Model ,11/4/2025,link,
KANSAS,Brown County Sheriff's Office ,County ,Brown County,Task Force Model,11/4/2025,link,
KANSAS,Brown County Sheriff's Office ,County ,Brown County,Warrant Service Officer,11/5/2025,link,
KANSAS,Caney Police Department,Municipality ,Montgomery,Task Force Model,2/10/2026,link,
KANSAS,Chase County Sheriff's Office,County,Chase County,Task Force Model,5/9/2026,link pending,
KANSAS,Cherryvale Police Department,Municipality ,Montgomery County,Task Force Model,4/17/2026,link pending,
KANSAS,Cloud County Sheriff's Department,County,Cloud County,Warrant Service Officer,11/20/2025,link,
KANSAS,Coffey County Sheriff's Office,County,Coffey County,Warrant Service Officer,4/27/2026,link pending,
KANSAS,Coffeyville Police Department ,Municipality,Montgomery County,Task Force Model,11/4/2025,link,
KANSAS,Cowley County Sheriff's Office,County,Cowley County ,Warrant Service Officer,3/5/2025,link,
KANSAS,Ellis County Sheriff's Office ,County,Ellis County ,Warrant Service Officer,7/7/2025,link,
KANSAS,Finney County Sheriff’s Office,County,Finney County,Warrant Service Officer,3/17/2020,link,
KANSAS,Franklin County Sheriff's Office,County,Franklin County,Warrant Service Officer,6/17/2025,link,
KANSAS,Haskell County Sheriff's Office,County,Haskell County,Warrant Service Officer,6/12/2025,link,
KANSAS,Jackson County Sheriff’s Office,County,Jackson County,Warrant Service Officer,7/23/2020,link,
KANSAS,Jewell County Sheriff's Office,County,Jewell County,Warrant Service Officer,6/25/2025,link,
KANSAS,Kansas Bureau of Investigation,State Agency,#N/A,Task Force Model,2/18/2025,link,
KANSAS,Logan County Sheriff's Department,County,Logan County,Warrant Service Officer,4/17/2026,link pending,
KANSAS,Lyon County Sheriff's Office,County,Lyon County,Warrant Service Officer,12/2/2025,link,
KANSAS,Osage County Sheriff's Office,County,Osage County,Warrant Service Officer,12/8/2025,link,
KANSAS,Phillips County Sheriff's Department,County,Phillips County,Warrant Service Officer,12/8/2025,link,
KANSAS,Pottawatomie County Sheriff's Office,County,Pottawatomie County,Warrant Service Officer,2/10/2026,link,
KANSAS,Reno County Sheriff's office,County,Reno County ,Warrant Service Officer,3/5/2025,link,
KANSAS,Rice County Sheriff's Office,County,Rice County,Warrant Service Officer,3/26/2025,link,
KANSAS,Rooks County Sheriff's Office ,County ,Rooks County ,Warrant Service Officer,9/9/2025,link,
KANSAS,Rush County Sheriff's Office,County,Rush County,Warrant Service Officer,7/7/2025,link,
KANSAS,Saline County Sheriff's Office ,County ,Saline County ,Warrant Service Officer,9/22/2025,link,
KANSAS,Sedgwick County Sheriff's Office ,County ,Sedgwick County,Warrant Service Officer,11/4/2025,link,
KANSAS,Shawnee County Sheriff's Office,County,Shawnee County,Task Force Model,7/2/2025,link,
KANSAS,Trego County Sheriff's Office,County,Trego County,Jail Enforcement Model,4/20/2026,link pending,
KANSAS,Trego County Sheriff's Office,County,Trego County,Task Force Model,4/20/2026,link pending,
KANSAS,Trego County Sheriff's Office,County,Trego County,Warrant Service Officer ,4/20/2026,link pending,
KANSAS,Wabaunsee County Sheriff's Office,County,Wabaunsee County ,Warrant Service Officer,5/28/2025,link,
KANSAS,Wathena Police Department,Municipality,Doniphan County ,Task Force Model,11/14/2025,link,
KENTUCKY,Bracken County Sheriff's Office,County,Bracken County,Task Force Model,5/8/2025,link,
KENTUCKY,Brodhead Police Department,Municipality,Rockcastle County,Task Force Model,3/17/2026,link,
KENTUCKY,Bullitt County Sheriff's Office,County,Bullitt County ,Task Force Model,3/28/2026,link,
KENTUCKY,Butler County Sheriff's Office,County ,Butler County,Task Force Model,9/9/2025,link,
KENTUCKY,Carlisle County Sheriff's Office,County,Carlisle County,Task Force Model,12/8/2025,link,
KENTUCKY,Carroll County Sheriff's Office,County,Carroll County,Task Force Model,2/23/2026,link pending,
KENTUCKY,Clay County Sheriff's Office,County,Clay County,Task Force Model,3/19/2026,link,
KENTUCKY,Clinton County Sheriff's Office ,County ,Clinton County ,Task Force Model,9/9/2025,link,
KENTUCKY,Daviess County Sheriff's Office,County,Daviess County ,Task Force Model,3/10/2025,link,
KENTUCKY,Falmouth Police Department,Municipality ,Pendleton County,Task Force Model,1/30/2026,link,
KENTUCKY,Fulton County Sheriff's Office ,County,Fulton County ,Task Force Model,11/10/2025,link,
KENTUCKY,Gallatin County Sheriff's Office,County,Gallatin County,Task Force Model,4/27/2026,link pending,
KENTUCKY,Glasgow Police Department,Municipality,Barren County,Task Force Model,3/31/2026,link,
KENTUCKY,Grayson County Detention Center,County,Grayson County,Jail Enforcement Model,3/5/2025,link,
KENTUCKY,Grayson County Detention Center,County,Grayson County,Warrant Service Officer,3/5/2025,link,
KENTUCKY,Grayson County Sheriff’s Office,County,Grayson County,Task Force Model,3/5/2025,link,
KENTUCKY,Hazard Police Department,Municipality,Perry County,Task Force Model,3/6/2026,link,
KENTUCKY,Heritage Creek Police Department,Municipality,#N/A,Task Force Model,4/29/2025,link,
KENTUCKY,Hickman County Sheriff's Office ,County,Hickman County,Task Force Model,11/14/2025,link,
KENTUCKY,Hickman Police Department,Municipality,Fulton County ,Task Force Model,1/7/2026,link,
KENTUCKY,Jackson County Sheriff's Office,County,Jackson County ,Task Force Model,3/24/2026,link,
KENTUCKY,Kenton County Sheriff's Office,County,Kenton County,Jail Enforcement Model,5/2/2025,link,
KENTUCKY,Laurel County Sheriff's Office,County,Laurel County,Task Force Model,1/7/2026,link,
KENTUCKY,Letcher County Sheriff's Office,County,Letcher County ,Task Force Model,3/23/2026,link,
KENTUCKY,Livingston Police Department,Municipality,Rockcastle County,Task Force Model,4/5/2026,link,
KENTUCKY,Lyon County Sheriff's Office,County,Lyon County,Task Force Model,5/8/2025,link,
KENTUCKY,Marshall County Sheriff's Office,County,Marshall County,Task Force Model,5/8/2025,link,
KENTUCKY,McCracken County Sheriff's Office ,County,McCracken County,Task Force Model,1/26/2026,link,
KENTUCKY,Middlesboro Police Department,Municipality,Bell County,Task Force Model,3/8/2026,link,
KENTUCKY,Montgomery County Sheriff's Office ,County ,Montgomery County,Task Force Model,12/8/2025,link,
KENTUCKY,Oldham County Detention Center,County,Oldham County,Warrant Service Officer,3/10/2025,link,
KENTUCKY,Oldham County Detention Center,County,Oldham County,Jail Enforcement Model,3/10/2025,link,
KENTUCKY,Oldham County Sheriff's Office,County,Oldham County,Task Force Model,5/5/2026,link pending,
KENTUCKY,Pendleton County Sheriff's Office,County,Pendleton County,Task Force Model,1/26/2026,link,
KENTUCKY,Rockcastle County Sheriff's Office,County,Rockcastle County,Jail Enforcement Model,3/17/2026,link,
KENTUCKY,Rockcastle County Sheriff's Office,County,Rockcastle County,Task Force Model,3/6/2026,link,
KENTUCKY,Rowan County Sheriff's Office,County,Rowan County,Task Force Model,2/18/2026,link,
KENTUCKY,Scott County Sheriff's Office,County,Scott County,Task Force Model,7/2/2025,link,
KENTUCKY,Union County Sheriff's Office,County,Union County,Task Force Model,5/16/2025,link,
KENTUCKY,Wayne County Sheriff's Office ,County ,Wayne County,Task Force Model,4/15/2026,link pending,
KENTUCKY,West Liberty Police Department,Municipality,Morgan County,Task Force Model,4/29/2026,link pending,
KENTUCKY,Williamsburg Police Department,Municipality,Whitely County,Task Force Model,5/12/2026,link pending,
KENTUCKY,Winchester Police Department,Municipality,Clark County,Task Force Model,1/7/2026,link,
LOUISIANA,Arnaudville Police Department,Municipality,Saint Landry County,Task Force Model,7/11/2025,link,
LOUISIANA,Beauregard Parish Sheriff's Office,County,Beauregard Parish,Task Force Model,5/16/2025,link,
LOUISIANA,Bossier Parish Sheriff's Office,County,Bossier Parish ,Jail Enforcement Model,2/28/2025,link,
LOUISIANA,Calcasieu Parish Sheriff's Office,County ,Calacasieu Parish,Warrant Service Officer,12/10/2025,link,
LOUISIANA ,Caldwell Parish Sheriff's Office,County,Caldwell Parish,Task Force Model,4/17/2026,link pending,
LOUISIANA,Columbia Police Department,Municipality,Caldwell Parish,Task Force Model,4/7/2026,link pending,
LOUISIANA,Gonzales Police Department,Municipality,Ascension Parish,Task Force Model,5/13/2026,link pending,
LOUISIANA ,Grayson Police Department,Municipality ,Caldwell Parish,Task Force Model,4/17/2026,link pending,
LOUISIANA,Greenwood Police Department,Municipality,#NA,Task Force Model,7/15/2025,link,
LOUISIANA,Gretna Police Department ,Municipality,Jefferson Parish ,Task Force Model,8/28/2025,link,
LOUISIANA,Gueydan Police Department,Municipality,Vermilion Parish,Task Force Model,12/12/2025,link,
LOUISIANA,Hammond Police Department ,Municipality,Tangipahoa Parish,Task Force Model,10/17/2025,link,
LOUISIANA,Hammond Police Department ,Municipality,Tangipahoa Parish,Warrant Service Officer,10/17/2025,link,
LOUISIANA,Kenner Police Department,Municipality,Jefferson Parish ,Task Force Model,10/17/2025,link,
LOUISIANA,Kenner Police Department,Municipality,Jefferson Parish ,Jail Enforcement Model,3/17/2025,link,
LOUISIANA,Lafayette Parish Sheriff's Office,County,Lafayette Parish,Task Force Model,12/11/2025,link,
LOUISIANA,Lafayette Parish Sheriff's Office,County,Lafayette Parish,Warrant Service Officer,12/11/2025,link,
LOUISIANA,Lafourche Parish Sheriff's Office,County,Lafourche Parish,Warrant Service Officer,6/11/2025,link,
LOUISIANA,Lake Arthur Police Department,Municipality,Jefferson Davis Parish,Task Force Model,5/12/2026,link pending,
LOUISIANA,LaSalle Parish Sheriff's Office,County,LaSalle Parish,Task Force Model,4/29/2026,link pending,
LOUISIANA,Livingston Parish Sheriff's Office,County,Livingston Parish,Task Force Model,4/9/2026,link,
LOUISIANA,Louisiana Alcohol and Tobacco Control,State Agency,#N/A,Task Force Model,5/20/2025,link,
LOUISIANA,Louisiana Department of Public Safety & Corrections,State Agency,#NA,Warrant Service Officer,7/24/2025,link,
LOUISIANA,Louisiana Department of Public Safety & Corrections,State Agency,#NA,Jail Enforcement Model,7/24/2025,link,
LOUISIANA,Louisiana Department of Wildlife & Fisheries,State Agency,#N/A,Task Force Model,5/20/2025,link,
LOUISIANA,Louisiana Military Department,State Agency,#N/A,Task Force Model,5/20/2025,link,
LOUISIANA,Louisiana Office of the State Fire Marshal,State Agency,#N/A,Task Force Model,5/20/2025,link,
LOUISIANA,Louisiana State Police Department,State Agency,#N/A,Task Force Model,5/20/2025,link,
LOUISIANA,Morse Police Department,Municipality,Arcadia County,Task Force Model,10/17/2025,link,
LOUISIANA,Olla Police Department,Municipality,LaSalle Parish,Task Force Model,4/29/2026,link pending,
LOUISIANA,Ouachita Parish Sheriff's Office,County,Ouachita Parish,Task Force Model,12/10/2025,link,
LOUISIANA,Ouachita Parish Sheriff's Office,County,Ouachita Parish,Warrant Service Officer,7/2/2025,link,
LOUISIANA,Pearl River Police Department ,Municipality,St. Tammany Parish ,Task Force Model,9/22/2025,link,
LOUISIANA,Plaquemines Parish Sheriff's Office,County,Plaquemines Parish,Task Force Model,6/11/2025,link,
LOUISIANA,Plaquemines Parish Sheriff's Office,County,Plaquemines Parish,Warrant Service Officer,5/28/2025,link,
LOUISIANA,Pointe Coupee Parish Sheriff's Office,County,Pointe Coupee Parish,Jail Enforcement Model,4/27/2026,link pending,
